timesteps,betas,alpha_bars,snr_linear,snr_db,mse_to_x0,kl_to_unit
511,0.0032656789,0.47515053,0.9053082,-0.4320355,0.5508954,454.39777
512,0.0032756329,0.47359413,0.89967483,-0.4591443,0.55083585,451.60458
513,0.0032861233,0.47203782,0.89407504,-0.48626032,0.5546306,448.82498
514,0.003296256,0.47048187,0.88850945,-0.5133795,0.55307114,446.05942
515,0.0033065677,0.4689262,0.8829774,-0.540504,0.5576445,443.30762
516,0.0033171177,0.46737072,0.8774785,-0.5676353,0.55756503,440.5692
517,0.0033273697,0.4658156,0.87201273,-0.59477174,0.56294656,437.84457
518,0.0033373237,0.46426103,0.86658067,-0.6219101,0.5632521,435.1341
519,0.0033481717,0.4627066,0.8611804,-0.6490585,0.56215227,432.43658
520,0.0033587217,0.4611525,0.8558126,-0.6762132,0.5693227,429.75262
521,0.0033690333,0.45959884,0.85047716,-0.7033735,0.56668955,427.0821
522,0.0033795834,0.4580456,0.8451737,-0.73054016,0.5669118,424.42508
523,0.0033902526,0.4564927,0.8399016,-0.75771576,0.5689758,421.78104
524,0.003400743,0.4549403,0.8346614,-0.7848966,0.5742661,419.1507
525,0.0034113526,0.45338833,0.82945234,-0.81208575,0.57329893,416.53333
526,0.003422141,0.45183676,0.8242741,-0.8392834,0.5751227,413.92908
527,0.0034327507,0.45028573,0.8191269,-0.8664881,0.5741384,411.33795
528,0.0034434795,0.44873518,0.8140102,-0.89370155,0.57807916,408.75998
529,0.0034543872,0.44718507,0.8089236,-0.9209249,0.5836171,406.1948
530,0.0034652352,0.44563547,0.80386716,-0.9481572,0.58090425,403.64255
531,0.0034759045,0.4440865,0.798841,-0.9753966,0.5850309,401.10342
532,0.003486991,0.44253796,0.7938441,-1.0026478,0.5884453,398.5769
533,0.0034977794,0.44099006,0.788877,-1.029907,0.5903904,396.06317
534,0.0035090446,0.4394426,0.7839387,-1.057179,0.5883646,393.56192
535,0.0035197735,0.43789586,0.77902985,-1.0844591,0.5911552,391.07367
536,0.00353086,0.43634972,0.7741498,-1.1117501,0.593338,388.59784
537,0.0035420656,0.43480414,0.7692982,-1.1390529,0.5983888,386.13458
538,0.0035529137,0.4332593,0.7644754,-1.1663648,0.59869516,383.6839
539,0.0035644174,0.431715,0.75968045,-1.1936905,0.5994695,381.2455
540,0.0035755634,0.43017137,0.75491357,-1.2210276,0.6004268,378.8194
541,0.003586769,0.42862844,0.75017464,-1.2483763,0.60325277,376.40588
542,0.0035979152,0.4270863,0.74546355,-1.275736,0.6029483,374.0047
543,0.0036095977,0.42554468,0.7407794,-1.3031111,0.6064302,371.61545
544,0.003620863,0.42400384,0.73612267,-1.3304982,0.6112786,369.23834
545,0.0036318302,0.42246392,0.73149353,-1.3578951,0.6093588,366.87372
546,0.0036437511,0.42092457,0.72689074,-1.3853086,0.6143033,364.52087
547,0.003655076,0.41938606,0.7223148,-1.412735,0.61048394,362.18024
548,0.0036668777,0.41784823,0.7177651,-1.4401768,0.6128876,359.85138
549,0.0036782026,0.4163113,0.71324193,-1.4676313,0.6186244,357.53455
550,0.0036899447,0.41477513,0.7087449,-1.4951007,0.6176566,355.22955
551,0.00370121,0.41323996,0.7042742,-1.5225825,0.62223077,352.9367
552,0.0037133694,0.41170543,0.69982874,-1.5500822,0.6246927,350.65518
553,0.0037252307,0.41017175,0.69540876,-1.5775985,0.62304723,348.38544
554,0.0037367344,0.40863904,0.6910146,-1.6051279,0.62510026,346.1275
555,0.0037486553,0.4071072,0.68664557,-1.6326739,0.62445855,343.8811
556,0.0037606359,0.4055762,0.68230146,-1.6602371,0.6266248,341.64627
557,0.003772676,0.40404612,0.6779822,-1.6878171,0.6327747,339.42285
558,0.0037841797,0.4025171,0.67368805,-1.7154117,0.6321115,337.21106
559,0.0037965178,0.40098897,0.6694183,-1.7430243,0.6368951,335.01065
560,0.0038084984,0.3994618,0.665173,-1.770654,0.6373869,332.82178
561,0.0038205981,0.3979356,0.6609519,-1.7983013,0.63875246,330.64407
562,0.0038330555,0.39641032,0.6567547,-1.8259683,0.6411766,328.4776
563,0.0038450956,0.39488608,0.6525814,-1.8536532,0.6442149,326.32227
564,0.0038568974,0.39336303,0.6484323,-1.8813536,0.64632416,324.17844
565,0.0038696527,0.39184085,0.64430636,-1.9090759,0.64191675,322.04553
566,0.0038818717,0.39031976,0.6402041,-1.9368159,0.6473104,319.92383
567,0.0038945675,0.38879964,0.63612473,-1.9645773,0.64922225,317.81287
568,0.003906727,0.3872807,0.6320687,-1.9923573,0.65034795,315.71313
569,0.003919363,0.3857628,0.6280356,-2.0201573,0.6516616,313.6243
570,0.003931761,0.38424608,0.6240254,-2.0479772,0.6514038,311.54642
571,0.0039443374,0.3827305,0.6200379,-2.0758176,0.6524498,309.4793
572,0.0039570928,0.381216,0.6160728,-2.10368,0.65891695,307.42303
573,0.003969729,0.3797027,0.61213017,-2.1315622,0.66160893,305.37756
574,0.003982365,0.37819055,0.60820967,-2.1594667,0.6629061,303.34274
575,0.003995359,0.37667954,0.6043112,-2.1873932,0.6663631,301.3186
576,0.0040083528,0.3751697,0.60043454,-2.2153435,0.6658823,299.305
577,0.004020691,0.37366125,0.59658015,-2.2433124,0.66700435,297.3022
578,0.0040340424,0.37215388,0.592747,-2.2713068,0.66684914,295.30975
579,0.0040468574,0.37064782,0.58893543,-2.2993233,0.67205274,293.32782
580,0.004059911,0.36914304,0.58514535,-2.3273625,0.6739586,291.35638
581,0.004073322,0.3676394,0.5813762,-2.3554275,0.6732213,289.39526
582,0.004086435,0.36613706,0.5776281,-2.3835173,0.6722952,287.4444
583,0.004099369,0.36463612,0.57390124,-2.4116285,0.67405987,285.50406
584,0.0041125417,0.36313656,0.5701953,-2.4397633,0.67785645,283.57394
585,0.0041263103,0.36163813,0.5665096,-2.4679275,0.6815559,281.65393
586,0.0041394234,0.36014116,0.5628447,-2.4961143,0.68252337,279.74414
587,0.004152775,0.3586456,0.5592003,-2.524326,0.6879854,277.8445
588,0.004166484,0.35715127,0.5555759,-2.552566,0.6859697,275.95486
589,0.0041797757,0.35565847,0.551972,-2.5808299,0.6874401,274.07556
590,0.004193485,0.354167,0.5483879,-2.6091216,0.6890465,272.20593
591,0.0042072535,0.35267696,0.54482377,-2.6374397,0.69194484,270.34644
592,0.0042208433,0.35118836,0.5412794,-2.6657853,0.6944399,268.49673
593,0.0042345524,0.34970123,0.5377547,-2.6941576,0.6945617,266.65695
594,0.0042487383,0.34821543,0.5342493,-2.7225604,0.69468415,264.82693
595,0.004262328,0.34673125,0.53076357,-2.7509892,0.7004472,263.00677
596,0.0042764544,0.34524846,0.5272969,-2.779448,0.699844,261.19632
597,0.0042900443,0.34376732,0.5238497,-2.8079329,0.7007556,259.39566
598,0.004304409,0.3422876,0.5204214,-2.836449,0.7008432,257.60464
599,0.0043188334,0.34080932,0.51701176,-2.864996,0.7086073,255.82314
600,0.0043326616,0.3393327,0.51362115,-2.8935714,0.7066053,254.05124
601,0.004346907,0.33785766,0.5102493,-2.9221754,0.7050879,252.28905
602,0.004361391,0.33638415,0.5068959,-2.9508123,0.7120425,250.5362
603,0.004375577,0.33491227,0.5035611,-2.9794786,0.7127968,248.79279
604,0.004390061,0.33344197,0.5002445,-3.008177,0.713885,247.0588
605,0.004404664,0.33197328,0.49694616,-3.0369067,0.71596456,245.33423
606,0.004419148,0.33050624,0.49366587,-3.065669,0.7178425,243.61893
607,0.0044336915,0.32904088,0.49040377,-3.0944622,0.71723706,241.91304
608,0.004448831,0.32757702,0.48715916,-3.123291,0.71863616,240.21619
609,0.0044633746,0.32611492,0.48393252,-3.152152,0.7258084,238.52855
610,0.0044776797,0.3246547,0.480724,-3.1810422,0.7224715,236.85031
611,0.004493177,0.32319596,0.47753254,-3.2099702,0.7276032,235.18106
612,0.0045078993,0.32173902,0.47435874,-3.238931,0.7311268,233.5209
613,0.0045232177,0.32028374,0.47120214,-3.2679274,0.7314253,231.86987
614,0.0045380592,0.31883025,0.46806285,-3.2969584,0.72919667,230.22766
615,0.0045533776,0.31737852,0.46494073,-3.326024,0.73358935,228.5946
616,0.0045683384,0.3159286,0.4618357,-3.355125,0.7305554,226.97032
617,0.004583597,0.3144805,0.45874774,-3.3842607,0.7375561,225.35522
618,0.004599452,0.3130341,0.4556763,-3.413436,0.73747087,223.74863
619,0.004614532,0.31158957,0.45262182,-3.442645,0.74380684,222.15112
620,0.004630089,0.3101469,0.44958398,-3.4718919,0.7476088,220.56223
621,0.0046458244,0.30870602,0.4465626,-3.5011768,0.7519849,218.9821
622,0.0046616197,0.30726695,0.44355753,-3.5305004,0.74215394,217.41061
623,0.0046766996,0.30582994,0.4405692,-3.5598588,0.7453753,215.848
624,0.0046930313,0.30439466,0.4375968,-3.5892587,0.7502221,214.29381
625,0.004708767,0.30296135,0.43464068,-3.6186962,0.75320923,212.74823
626,0.004724741,0.30152994,0.43170062,-3.6481733,0.75346243,211.21124
627,0.0047410727,0.30010036,0.42877623,-3.677693,0.7534665,209.68268
628,0.004756987,0.2986728,0.42586797,-3.7072504,0.75339365,208.16263
629,0.0047730207,0.2972472,0.42297545,-3.7368486,0.756842,206.65103
630,0.004789114,0.29582366,0.42009887,-3.7664852,0.7600159,205.14795
631,0.004805982,0.29440194,0.41723746,-3.7961674,0.7592808,203.65302
632,0.0048220158,0.29298234,0.41439182,-3.8258884,0.76492137,202.1666
633,0.0048387647,0.29156464,0.4115614,-3.8556538,0.76873016,200.68832
634,0.004855156,0.29014906,0.40874648,-3.88546,0.76955974,199.21844
635,0.004871726,0.28873554,0.4059468,-3.915309,0.7726748,197.75656
636,0.004888594,0.28732404,0.40316227,-3.9452014,0.77077615,196.30307
637,0.004905343,0.2859146,0.4003927,-3.9751384,0.7739073,194.85771
638,0.0049226284,0.28450716,0.39763802,-4.005121,0.7688806,193.42029
639,0.004939258,0.2831019,0.39489838,-4.0351467,0.77276033,191.99101
640,0.004956305,0.28169876,0.3921736,-4.065217,0.7731528,190.56976
641,0.0049738884,0.2802976,0.38946322,-4.095336,0.78104156,189.15651
642,0.0049907565,0.27889872,0.38676775,-4.125498,0.77798903,187.75113
643,0.005007684,0.2775021,0.38408703,-4.1557035,0.78013414,186.35391
644,0.005025804,0.27610743,0.38142046,-4.1859603,0.78497124,184.96436
645,0.00504297,0.274715,0.37876835,-4.216263,0.7882286,183.58273
646,0.0050610304,0.27332467,0.37613037,-4.246616,0.7883167,182.20895
647,0.0050781965,0.27193668,0.3735069,-4.277014,0.78841734,180.84296
648,0.005096078,0.27055088,0.3708975,-4.3074613,0.7929746,179.48462
649,0.0051134825,0.26916742,0.36830243,-4.337954,0.7950199,178.13434
650,0.005132258,0.26778597,0.3657209,-4.3685026,0.7942692,176.79135
651,0.0051498413,0.26640692,0.36315352,-4.399098,0.7939779,175.45618
652,0.005168438,0.26503,0.36059976,-4.4297457,0.79969525,174.12842
653,0.0051862597,0.26365548,0.35805994,-4.460443,0.80050886,172.80844
654,0.005204618,0.26228327,0.35553384,-4.4911904,0.79808927,171.49606
655,0.0052233934,0.26091325,0.35302114,-4.521993,0.8009912,170.19101
656,0.0052411556,0.25954577,0.3505224,-4.552842,0.80360806,168.89363
657,0.00526011,0.25818053,0.34803686,-4.583748,0.8069384,167.60365
658,0.0052791834,0.25681755,0.3455646,-4.614708,0.8042649,166.32092
659,0.0052981377,0.2554569,0.34310558,-4.6457224,0.80850303,165.04556
660,0.0053165555,0.25409874,0.34066004,-4.676788,0.8073004,163.77768
661,0.0053355694,0.25274298,0.33822766,-4.707909,0.8160019,162.51709
662,0.0053542852,0.2513897,0.33580855,-4.7390823,0.81462264,161.26384
663,0.005373895,0.25003877,0.33340225,-4.770315,0.8180214,160.0177
664,0.0053937435,0.24869014,0.33100876,-4.801605,0.81585526,158.77884
665,0.0054130554,0.24734397,0.32862815,-4.8329525,0.8214536,157.5471
666,0.005432248,0.24600033,0.32626054,-4.8643546,0.8203376,156.32251
667,0.0054517984,0.24465919,0.32390568,-4.8958144,0.82197785,155.1051
668,0.0054720044,0.2433204,0.32156333,-4.9273353,0.82498133,153.89468
669,0.0054910183,0.24198434,0.31923395,-4.9589095,0.82431966,152.69153
670,0.0055114627,0.24065065,0.3169169,-4.990546,0.8272408,151.49525
671,0.0055319667,0.23931937,0.31461215,-5.022245,0.82823217,150.30579
672,0.005551636,0.23799077,0.31232005,-5.0540013,0.8309447,149.12352
673,0.0055724382,0.23666458,0.3100401,-5.0858216,0.834844,147.94798
674,0.005592406,0.23534104,0.30777258,-5.1177015,0.8344804,146.77948
675,0.0056124926,0.2340202,0.30551746,-5.14964,0.8326341,145.61792
676,0.005633533,0.23270184,0.30327433,-5.1816435,0.8405221,144.46304
677,0.0056547523,0.23138596,0.3010431,-5.2137136,0.83808434,143.31493
678,0.0056755543,0.23007272,0.29882398,-5.2458453,0.8415821,142.17358
679,0.0056961775,0.2287622,0.29661694,-5.27804,0.84420335,141.03902
680,0.0057172775,0.22745429,0.2944218,-5.310301,0.8465321,139.91115
681,0.005738497,0.22614905,0.29223853,-5.3426256,0.8436819,138.79007
682,0.005759895,0.22484645,0.290067,-5.375017,0.8486113,137.67548
683,0.0057813525,0.22354653,0.28790718,-5.4074755,0.8487942,136.56763
684,0.0058034062,0.22224921,0.2857589,-5.440002,0.8509791,135.46625
685,0.005824685,0.22095467,0.28362235,-5.4725957,0.85283625,134.37144
686,0.0058465004,0.21966286,0.28149736,-5.505257,0.85458654,133.28319
687,0.0058689713,0.21837367,0.27938372,-5.537989,0.8494619,132.2014
688,0.0058906674,0.2170873,0.2772816,-5.5707893,0.86020744,131.12602
689,0.005912423,0.21580379,0.27519107,-5.603657,0.85745543,130.05725
690,0.0059357285,0.21452284,0.2731115,-5.6366005,0.8673651,128.99467
691,0.0059577823,0.21324475,0.2710433,-5.6696134,0.86351115,127.93852
692,0.0059808493,0.21196938,0.26898623,-5.7026997,0.86646724,126.88874
693,0.0060031414,0.21069689,0.2669404,-5.7358575,0.863129,125.84533
